,train,val,test
0,44969550-C510-4072-8581-C67867905364,773B2C75-8322-4AEF-AB99-2C1820202C02,16ABB3B1-4289-4A33-B4E2-0776D410B739
1,D53B0242-4C29-46E3-9FA6-747D6F4A45CD,25DC6BA9-A0C9-4A5F-9558-24E04D2F553F,AB8F0576-E7BA-4B42-BFAB-FB3EA5449ED1
2,D003E2E1-1D28-4DC4-90A5-A112B09EB31F,F2CA71F8-5D7B-4E47-BAC4-872DA3A73F1A,C25B2C16-79D7-4D38-838C-5A23CEA7B975
3,A3E2EF7C-75C7-4E27-B6A9-671DC93573AB,A89E596C-51BA-4350-9D18-1F8DD830106B,AAD99383-BFF5-4071-8488-F600FBCDE06C
4,654ED03B-C4AD-425B-9552-6E2FE01D2E09,CD30AF9F-9C07-4AAA-A3CB-E41701BD0F6C,8F81C494-8B74-4EEE-98C8-0BF1057D390A
5,8DC5EBB3-432C-4E49-9F58-43B04B0C6D4C,C0BA2F62-A84F-4B87-A992-545734C51D02,3789D8FE-E864-46F9-99B3-2B554D296B5F
6,51AF5680-18AB-498E-BB3A-9DC442F32DC9,9DAEE833-7601-4250-8A42-39B4DD64DA27,2B6B3063-1D6F-481E-84FA-99BF2B32D019
7,AD2AFFB4-AA16-4BB1-96C4-F7973595BC56,231089FB-8DD0-45E7-8E07-577EB35F7E11,807A147A-9D34-467C-ACCF-8B17EE7D7C73
8,FE83B53A-4E2D-4CC2-9078-CFA26A0484A3,CBF43FDE-FD84-4867-8E78-35DDF4FF10F7,4BBB6260-0B09-4384-BB6B-75F616439324
9,FF36FC08-C989-4EB2-9541-EAE8A5B65D8B,CE0403C1-739C-4E58-83DB-606D96BF5993,0C42C1AA-DD2E-4512-85E5-54CE076612BA
10,9BE775E0-9FE8-420E-B286-BB201D48C39C,418560C8-467B-4932-9DF6-0E3B61F55958,28130182-25B6-48B4-B49D-4588C762B243
11,CC70B0ED-4B3D-4C6B-89D7-27EEEA45EC95,78BD27D8-41EE-442E-87F3-BD449752A0A2,4487C246-168B-4C91-BAC7-DD18BDB0FE69
12,4FFB4E01-0481-4FFB-BF2E-F2E1C7D41F0B,52656BBB-3E27-43B7-8163-1A8EB5F824A8,C48CD261-FE2C-430E-BA88-80C73F6D310A
13,223733CB-8797-4792-97F6-AA7DAA3F69A3,4D2326E3-FBB5-4539-9271-6549EF8E98CC,9B27D51D-F628-4687-9E7E-02D21B028958
14,42597D71-B97D-4384-91C4-A39EC66C136C,E5A8FFE8-A831-41B0-BEEC-CC2BBDB1CD76,86D73F62-82A7-452F-AC99-18A4C8ADD7CB
15,EA8C1B90-20CC-4DF5-8E38-49236E4BD277,F27BB9F7-50CB-40D9-83FB-D0D46C23570E,D6E2BBA4-7318-4800-BD4E-14450AAE64D3
16,4B91460F-89EB-41E0-B87C-D4BADFDA56F3,04F18CE9-3AE3-44C4-BCA8-3CE79BFFF2B7,2B1C9D50-FF0D-4B00-AD4D-2216284C3D4F
17,8229F42F-F12B-4416-96E9-4AC6B8CACC1B,4986F50B-9D77-4859-8E7C-B6D963E9FDA1,7E4D1AA1-6B33-4B15-8DD4-119034EAA639
18,13F9113C-FC2E-4EE6-B3F1-63738BDADD6E,B0A7C0D7-43F7-42E0-9505-D9598232F04F,B7712474-1B33-473B-8AC5-935309BD77E0
19,8D70A1E2-EC13-41E0-8978-F52B71FD13AE,D4D5AE14-4EC0-4A28-AFD3-CF3E0AC1A653,E736C2C2-CA17-4142-ADCF-798EA3FB5B6D
20,175DF508-EEE8-4B0D-B7BF-03237C177CE9,46DD6AC3-33BD-4AF6-BDF3-BA30948F61BF,54D44468-ECEA-4EB4-BC45-5D1AA1349EC1
21,D9A24790-E846-45DD-80E2-80A94056F847,B4574A55-6CC4-4CE8-86F1-19E65C03EB28,2A993444-BACA-4D7D-87C1-EB89CC1A6B33
22,B8AD09F6-9ADE-4C38-AF7C-20E9EBA83DFF,912A4295-45F1-4BBB-88BD-B0834E449A04,B94CC9E4-B0AC-48A9-9AA9-AA6C78690D3F
23,64E8B24E-1FEB-4DEB-9D03-82E9F1995954,D63BADE9-DCEA-4D01-ADD3-277E449545B6,9635B78E-BC4E-4A0E-88BB-4DF479EEC581
24,327CA9E5-64A3-4CE2-83CF-4556510B1355,5F9BF5C2-4CF7-4F44-A06A-6B1092B236F4,BC09F980-60FA-4F7E-A9BD-AE1AE6DD07CD
25,8337174C-A225-4A7F-B4EE-9DE283A1E6E5,99E28B3A-A12E-496E-B106-3AAB7BE90702,0E222008-B4D6-491A-B932-1BFDCF20EFEF
26,91D44AD0-1554-4B01-A790-E82F22825608,570D9CFE-4D4E-44E5-A5A5-A93C920F0033,72289F92-7141-4C5B-B605-B65E673B5F24
27,7B879699-9A02-46F7-A557-DE2B85FFEB89,9501617B-00A3-4E02-B8A5-6B7B615F5007,2AEA65B2-CA5B-4D38-81E1-9D481064FA7E
28,328C2C84-26F8-4044-A6E8-6B7D1FDD3DA4,3A9E0863-B065-47FB-9292-FB259263AE51,7FDB5717-9A24-4626-8146-C4992DECB322
29,FF4B3DF2-F428-4C47-A170-56B3D26EEEFB,9799A7F5-173B-4410-B7B4-6C0FC3020AAC,949F5E88-1D9E-4467-AA65-0740BF4B6FD1
30,2B679E95-03D5-49EC-9FF9-8150554C6084,060BA854-FA34-4422-880C-48E4B4CCC6B0,66D7C0AC-AEAB-4C1B-AD14-2170E7A71225
31,C9121957-D668-442D-8FC6-43F18EC98C55,DD22B36B-6310-45E5-BFA3-A3FA8B011248,251EFE50-DFCA-48C1-9BB0-CE00899BFC1B
32,DF59DD35-77EE-4CCD-8487-7E5283C4414F,4A47644B-791C-4730-A674-BBDF8F1E2572,F99FD4CD-0A2E-4521-85FC-BAB1CE9E6590
33,532D5AB3-7F95-4A32-BC95-547F9675FC05,A030254B-C962-4C9F-AB31-60D677DC6D67,6CACF8C9-1D2E-4E71-95AA-EB407C4E4E48
34,81D39D32-6A57-49AA-B72A-C7E0900B88B6,4841333F-0CC9-4BC3-AD25-28FE37EBF4F2,542B2870-9ACE-4C68-A062-AF547DFF43B0
35,AEECFA30-DD10-4A85-AB81-3A2FDD094DE3,80FCC79D-599E-4C02-BCDC-B96AE8CF16DE,F13D3751-3AA0-4DCD-9186-EB805938B61A
36,EB07E768-6F98-46D0-9092-74F97300F49C,1708C0D1-7885-4AC2-B3EF-4B8D3477840E,180F9528-1A5E-42E9-8AFB-1538B0DFD163
37,EF51ACD6-2916-46C9-82B1-322FE6479E6F,6FB95CFF-C743-41D7-B851-AD6EF0BE42BB,C0C5E568-2371-4844-B9F8-59F492C60152
38,355F8423-E34E-4062-A935-B7DDC9BF4CC2,17826517-CB95-4640-885C-4C7154A8EB1B,6CBDA7A7-EB7E-4CE5-9982-6AF0740E9373
39,E9025DC4-9CC1-4292-A1F0-E8A10BAEDB42,8DFE9696-1755-4779-88DF-3DD494132BCE,42D976C4-8F34-448D-8330-119A7526685D
40,7E1FFBE4-D362-4318-8827-E5F552D080D8,ABE9442C-453C-479E-945D-59D8ABCB5E8A,41A26D44-227B-4745-A6A9-56BFB7A2371E
41,ADA1A8CD-5BD2-4C16-B4F5-217300F65CCD,1C56C0C3-0219-4D54-A4AB-AFAEF31982B0,C89D920F-59CA-4650-9263-92D0CE328C21
42,D4E2E229-F6CB-4EAB-911C-326481014FFA,2180B799-3B70-41B1-A1C4-D5FC7C6FD207,636468D7-843E-42CB-A478-99B2C6876585
43,9F1979FD-D18B-4CC1-BD2B-864B1D5CDF18,23515CDA-1131-4847-85E9-E42C1A50CFFF,BD12FD9A-C264-492E-A745-C8928A8FBC95
44,371E2512-61DC-401E-9340-3FCF046A79F3,F632A5AC-B826-402F-B6C0-458A39516BBF,449DAD36-84B2-4349-91BB-FC94AC5FB9B3
45,EED2BF6E-9C39-42CD-8112-55D5F1A5E2A1,25FB0B6C-17E2-4828-8E08-36455D1987F5,E5BE2824-054B-4D67-8EF0-2FAFEBA03DA7
46,C20A02CA-2D06-4F23-AEC7-97D0FCAC34C4,5AB0F734-E649-4443-A0F9-DDD4007A3AF1,5F29BC16-41DA-4F1B-9362-3A0EA548E180
47,7E1CD0F5-1C25-4D23-8468-327873095BE5,C0991E55-1A8F-460D-AE2C-D6BFC17B7744,B32CC379-2DD1-4161-8312-79597E0FD7F2
48,38B58C04-B17D-4FA7-B275-6C266ECCB327,E343EB9E-C7CA-4707-8B2A-751A28E3FF5F,A2140954-930A-446D-B9F6-F398EA4EA09E
49,5D1F833E-51BF-403A-A21A-FC13DD617BB2,534123F0-02E9-4B08-9D42-E226FCA68C57,CD39FBC9-2FA8-4F33-87F0-FED3BFD0F772
50,E270491E-6023-4246-8FEC-1F0EF4F685FD,E67553C4-CBFB-4121-9A33-CB4E0148D214,5298DD29-D9CB-490E-B3CF-311D2B9F3F57
51,DFC6E288-FB46-4289-938E-D65B7EFF652B,2A4EE845-0CF8-4788-AD3E-A958666C5F9E,57F1D507-3279-4767-A320-2631E7EE3ABE
52,30906F4F-4827-43ED-B809-28CF74186506,8AA0A98C-4BCB-4D19-91D2-BD1270A09F17,1081838C-9724-4213-8E8B-96DC5707EA8B
53,86861524-F4C5-4A62-B254-420A89CC43D7,CFB0CC13-9FBF-406E-98E9-043BB9209C2F,D7843C78-6351-443D-BDDF-8FCCA752E81A
54,5A660361-D8B9-4FDF-864F-896F0A01148C,4B40B780-4B19-491D-8812-49AEF33CCAA6,D0F2EFDB-58A4-4701-A943-29A1EA010FEF
55,12B58B3C-9C0C-4D20-8E3C-78BDA4F8AFB3,564A60D2-5DAC-4D5B-A818-622B4A22F84A,ECB7D7C0-FF7A-45F3-849C-F5FE40C1BFF0
56,B40F3960-78F6-43D6-BD53-608698D254EC,827FE5FF-E13B-4360-8C0F-EEF7F0DD032B,05150041-9E79-48F5-B53E-2578917E89C8
57,FE863160-EB44-4D15-B4FC-C2521F2A1BD7,3EF2F402-A8CB-43E1-B4DD-184162A09D18,AA650DC7-1986-4368-A0E8-4DA20FD540DF
58,2D293FFC-36EC-4A21-9973-82035B1C96D8,73AD5C28-D092-472A-8CA1-F4C6548941D0,4BB4453C-99D4-4152-AFFA-3B0CED652A86
59,17BEAEAC-5096-4C2F-BFED-8A64551B5CC2,D466972F-DA25-427E-96D6-7BBC522E7EAE,8815CEC7-F027-483D-A588-75023E7D774E
60,D89E753A-346A-4660-9FCB-E67D0C096630,22FE84E4-04BD-4641-8858-9004AB9127C3,5CCC735E-FA11-4AAD-80C8-23E365253AC0
61,2CD234CC-8A61-49B8-96A5-033DC47B2116,B92A18FE-A890-452A-97ED-58F1548A91A0,589BBEFF-F069-4307-B7CD-15CA75DFC2C1
62,C31D086E-01CC-4201-BAF7-E0E403372375,84E7CFBD-48E3-455B-85C8-768AEE1149AA,AC3F4847-3D3F-4CDD-AC58-A53DAA7D3691
63,6C90CA28-1E99-4914-82FC-454D922E992C,DFC91F17-30B3-4B23-8C50-E63984EF9A12,71F25351-8B57-4D08-838B-94A0C936CD87
64,CD5E3F15-B78B-44F2-9E62-D683613109A2,1949777D-EC76-4DFC-B779-FF76FB2CBA1A,10120F3B-9833-4DB1-A28C-4FE0FE4AC7CF
65,59306C00-D6DC-44BD-AA60-087A1843EEAB,A16DCA4C-EABF-40A9-9362-12E834FA1E56,A62F52DC-808F-4BDB-A6F4-7D0B0632F4E7
66,432D5D67-B689-4CBF-A5AD-8CBD2900851F,716FE663-23A1-4121-A60F-EC1C830B6163,EE8423BD-EC11-4C05-8366-9A03FA48C834
67,B268032F-85A5-4690-AE66-C3E308FC67A9,18EAB036-AF5D-4B35-83F9-F4BD33E8C226,4D37F63A-4689-4AD8-AD6A-473AF9BF0430
68,3C3ECFC3-7D43-4FB2-8ABB-52BBAC86A369,2295D289-9036-4C91-89ED-F0FE064B77E6,23AB34AE-7E61-4A3A-BFA2-9ACAEE272D91
69,3458F34F-A3B8-421B-90B3-ED8305A7A1B2,76A11527-5436-4862-95EE-7CE07D9774C2,1CCBC82C-8B70-4C3A-859D-8C11AAD5D1BE
70,81FA25AB-3C4D-4F2D-A25E-3906753E4CA6,BBBB1BB3-A1D9-4578-89D8-F796EB65ABF3,FD21AC5A-D8D2-4131-A3A5-9E67430F0BC6
71,1463DF13-1438-49A9-B25F-A73421A658EC,46545BFE-B09E-4653-A7B0-496FC4FCEE4D,88459B38-A08E-4214-9097-315053C7C815
72,0EBA08F4-CE64-486B-B366-85C3B92F9A5E,3F26D57D-4160-48EE-9A89-2CE03C910906,7D460CAD-F834-4D87-8505-11D3E4A63D86
73,CEFD1888-874E-41CC-9587-587F1462DA98,42E86E4B-467F-49E2-ADB2-3C8DD1160D26,2E334F12-1807-49ED-8B0F-55F5C86D4860
74,A29A5D80-097B-4565-896E-00B1C4F20A21,,
75,A6B02B71-DCE7-4979-AAF6-4F1B3A70E5F6,,
76,316DD427-38E5-4B6B-A4D8-7DBEAA0D9408,,
77,D26EB975-5C2D-4DC7-A218-EC07B1D60BEC,,
78,CCFAE25C-1552-4B36-A65E-2729483A3C05,,
79,8F917958-48EB-4537-A9A7-2BC9FF743377,,
80,9B56B6D6-791F-4F44-BBDF-37CC37BD1B49,,
81,2B429AC0-AAD1-46A2-8500-FF36AC23FC9C,,
82,D6F8B9A6-FD94-47D6-BD99-80F04B74D7F9,,
83,39B18AFA-A5F2-4EAD-A4EB-42B0055D819A,,
84,7297890F-DCD4-4B5F-93B7-C744A0F580E5,,
85,D128A7E5-5D60-4A7C-A0E5-3A50C5A48D8A,,
86,9D61650F-25B0-45A0-A0B8-1E93F7596CA3,,
87,C64F38CA-30FF-4813-99B8-87987A7FFA7A,,
88,6BDB00EB-E072-40CE-B30A-55320015021E,,
89,7FA5FEDF-81E7-4FBF-859A-A588388F00C3,,
90,9D88F20C-1498-4363-A38C-1F079829066D,,
91,DC11EDD6-8A0B-44D2-9EAB-EE7D133790FA,,
