,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8438981363772798,0.8766902157600155,0.5810810810810811,0.5810810810810811
1,1,0.8403883503716651,0.8706318528523755,0.5675675675675675,0.527027027027027
2,2,0.8858706984833237,0.8637393841481718,0.6081081081081081,0.5810810810810811
3,3,0.8697583072902872,0.8520737106485161,0.5945945945945945,0.5810810810810811
4,4,0.8722670913007399,0.8834932994332327,0.5405405405405406,0.5675675675675675
5,5,0.8727041509966984,0.8855075966241148,0.5675675675675675,0.5945945945945945
6,6,0.8671463442625844,0.9067044732242173,0.6216216216216216,0.6756756756756757
7,7,0.8871987834807633,0.910672285784911,0.6351351351351351,0.6486486486486487
8,8,0.9048140349947914,0.8921517956459558,0.6081081081081081,0.6351351351351351
9,9,0.860964850715963,0.8605513180429755,0.5135135135135135,0.5675675675675675
