,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8336629995231122,0.8244061314225201,0.6601307189542484,0.6470588235294117
1,1,0.819663508551045 ,0.8043527123157967,0.6339869281045751,0.6143790849673203
2,2,0.8334699043557826,0.8312343259816816,0.6666666666666667,0.6666666666666667
3,3,0.8505408452489617,0.847662541457498 ,0.6830065359477124,0.6503267973856209
4,4,0.8288746801542789,0.8459123578418088,0.6274509803921569,0.6895424836601307
5,5,0.8747541963233134,0.8785900588109579,0.7026143790849673,0.6862745098039216
6,6,0.8498725082743949,0.858403445069202 ,0.6797385620915033,0.6895424836601307
7,7,0.8145462904175896,0.8252784646279813,0.6372549019607843,0.6503267973856209
8,8,0.8426423035503937,0.8062517372264559,0.6405228758169934,0.6143790849673203
9,9,0.8246805910576317,0.8700531748555687,0.6437908496732025,0.738562091503268
