,train,val,test
0,4BBB6260-0B09-4384-BB6B-75F616439324,D128A7E5-5D60-4A7C-A0E5-3A50C5A48D8A,8F81C494-8B74-4EEE-98C8-0BF1057D390A
1,6BDB00EB-E072-40CE-B30A-55320015021E,D4E2E229-F6CB-4EAB-911C-326481014FFA,2B429AC0-AAD1-46A2-8500-FF36AC23FC9C
2,7E1CD0F5-1C25-4D23-8468-327873095BE5,12B58B3C-9C0C-4D20-8E3C-78BDA4F8AFB3,0C42C1AA-DD2E-4512-85E5-54CE076612BA
3,E9025DC4-9CC1-4292-A1F0-E8A10BAEDB42,316DD427-38E5-4B6B-A4D8-7DBEAA0D9408,B40F3960-78F6-43D6-BD53-608698D254EC
4,7391DECF-521D-4257-8FEF-FFFB5F77E063,C20A02CA-2D06-4F23-AEC7-97D0FCAC34C4,4B91460F-89EB-41E0-B87C-D4BADFDA56F3
5,D89E753A-346A-4660-9FCB-E67D0C096630,FF4B3DF2-F428-4C47-A170-56B3D26EEEFB,CD5E3F15-B78B-44F2-9E62-D683613109A2
6,327CA9E5-64A3-4CE2-83CF-4556510B1355,52656BBB-3E27-43B7-8163-1A8EB5F824A8,5BA5B953-7C9D-41E8-B49A-467AD93511D6
7,A5FD793F-B750-44AF-8230-00122572C6FF,B8AD09F6-9ADE-4C38-AF7C-20E9EBA83DFF,CCFAE25C-1552-4B36-A65E-2729483A3C05
8,A1BB4207-D643-43EE-9459-C2128B8F36CB,81FA25AB-3C4D-4F2D-A25E-3906753E4CA6,7415C2DE-2BE4-457B-B5B7-30EBEECA4BB5
9,175DF508-EEE8-4B0D-B7BF-03237C177CE9,355F8423-E34E-4062-A935-B7DDC9BF4CC2,38B58C04-B17D-4FA7-B275-6C266ECCB327
10,9DAEE833-7601-4250-8A42-39B4DD64DA27,A89E596C-51BA-4350-9D18-1F8DD830106B,9D59A0B7-56B2-480E-AD51-6D4D137BE005
11,86D73F62-82A7-452F-AC99-18A4C8ADD7CB,8DC5EBB3-432C-4E49-9F58-43B04B0C6D4C,DF59DD35-77EE-4CCD-8487-7E5283C4414F
12,223733CB-8797-4792-97F6-AA7DAA3F69A3,D003E2E1-1D28-4DC4-90A5-A112B09EB31F,2D293FFC-36EC-4A21-9973-82035B1C96D8
13,CE0403C1-739C-4E58-83DB-606D96BF5993,44969550-C510-4072-8581-C67867905364,B873809C-A489-403E-ADDC-C8D5CB1F8698
14,ADA1A8CD-5BD2-4C16-B4F5-217300F65CCD,1AF963D5-013D-4110-8215-4BF6582BDCFA,C25B2C16-79D7-4D38-838C-5A23CEA7B975
15,A29A5D80-097B-4565-896E-00B1C4F20A21,16ABB3B1-4289-4A33-B4E2-0776D410B739,7438EC80-BE3B-4BF8-86CF-3A00A8131A0B
16,7EBE7F0D-4FF9-4AEA-B247-84B9F2B3ADE9,E7BFADD4-1095-41DF-93E9-DFB66B84E87C,6BD65A35-2844-4008-8500-C9F71A419279
17,39B18AFA-A5F2-4EAD-A4EB-42B0055D819A,6D757FFD-80AD-4A09-9E29-F13FE8F7F481,FA077222-60DF-4011-96BD-7C91979D094C
18,86861524-F4C5-4A62-B254-420A89CC43D7,F384DD52-53C2-40F2-8939-F5B631955436,2A4EE845-0CF8-4788-AD3E-A958666C5F9E
19,F27BB9F7-50CB-40D9-83FB-D0D46C23570E,3EF2F402-A8CB-43E1-B4DD-184162A09D18,CC53B146-260F-48DB-9C4B-97AF16A92658
20,2A756683-B3A0-4444-ABFD-4CB518B4E24B,D3F46B79-63F2-4E02-A8B1-C88379E77384,534123F0-02E9-4B08-9D42-E226FCA68C57
21,3C3ECFC3-7D43-4FB2-8ABB-52BBAC86A369,5119A1F0-49DA-432B-A2B3-1698A5F7676B,781A80C4-D232-41D2-AF7E-23B7676A9355
22,28130182-25B6-48B4-B49D-4588C762B243,1081838C-9724-4213-8E8B-96DC5707EA8B,7EC819BF-61CA-4924-91B1-D05A5724D2E8
23,E3E91D57-3FB7-4D0B-82F1-56109D65B218,8A921D13-0169-4EAC-967D-576612948233,C7DA5758-B775-41C6-99DA-1DA6EDB494A3
24,64E8B24E-1FEB-4DEB-9D03-82E9F1995954,9AF77BE4-C259-4667-867B-571CA9933CDA,D0F2EFDB-58A4-4701-A943-29A1EA010FEF
25,328C2C84-26F8-4044-A6E8-6B7D1FDD3DA4,A1C691A0-113B-4DDC-84EE-8AE418D5431C,9AD8C89F-6742-4D9B-B819-2D676642739C
26,773B2C75-8322-4AEF-AB99-2C1820202C02,DDA9675D-348A-4F41-A1BB-5E90541489FB,CFB0CC13-9FBF-406E-98E9-043BB9209C2F
27,EF51ACD6-2916-46C9-82B1-322FE6479E6F,F61B55B8-E91D-4972-81DC-270067DD6D86,437CCE2E-8F84-482C-8317-60EC16D3DEE9
28,C0BA2F62-A84F-4B87-A992-545734C51D02,C584E7BB-564C-4985-8167-3B50EEE412D1,E2B20A26-C97B-49E7-A296-451D4B66B826
29,371E2512-61DC-401E-9340-3FCF046A79F3,902B539B-5514-494A-AA9D-6E579E6D4B4E,5A4518AD-2696-4925-B3C9-74207F745569
30,33B69B72-383E-459A-8A86-97C1A31D2579,EA1D2450-F611-4A25-8CFB-ADC7D5EACBF7,049472BA-6C79-4982-907E-97E3D4AA847D
31,8229F42F-F12B-4416-96E9-4AC6B8CACC1B,B0A7C0D7-43F7-42E0-9505-D9598232F04F,A5274412-5F6D-4EB4-A2E1-19B826F9870F
32,CBF43FDE-FD84-4867-8E78-35DDF4FF10F7,2E5AEF78-0AEE-4DB1-BCEB-D06F37CBB80C,95463681-BE72-43D8-854E-14111E9ECFA0
33,432D5D67-B689-4CBF-A5AD-8CBD2900851F,226CBD2D-9FD9-4238-8435-70373023346B,4F93AD26-1B38-4710-BB3E-72AEAAD9606A
34,51AF5680-18AB-498E-BB3A-9DC442F32DC9,D81BBEDD-4377-4168-92CD-84D420753BE6,A8C3F176-1882-48ED-8009-DB6338F97F71
35,CEFD1888-874E-41CC-9587-587F1462DA98,6FB7E81A-ADA6-4AC1-B110-F0FB74C448B5,9501617B-00A3-4E02-B8A5-6B7B615F5007
36,CC70B0ED-4B3D-4C6B-89D7-27EEEA45EC95,6222B41F-EFE0-4A6D-8479-293166D82AD8,6A13E9A3-9D10-4C99-861E-5BB635D57703
37,6C90CA28-1E99-4914-82FC-454D922E992C,F99FD4CD-0A2E-4521-85FC-BAB1CE9E6590,5B7521EF-0A3B-4AC4-BE48-95257613E54E
38,D6E2BBA4-7318-4800-BD4E-14450AAE64D3,2AEA65B2-CA5B-4D38-81E1-9D481064FA7E,609763A7-7AFB-4379-89CA-94152511FED1
39,1CAE456E-0709-4C95-8BDB-0B52239A3EA0,EA6EACC9-6D59-4BA1-B35D-033BB338941F,274034B5-55BE-4BFF-BDBB-3661BD30050F
40,8337174C-A225-4A7F-B4EE-9DE283A1E6E5,2A9A7006-A0D9-4B19-A069-546633052B1A,2C51B008-64C1-4450-944F-0CCE5FAA171B
41,7FA5FEDF-81E7-4FBF-859A-A588388F00C3,AC870C8D-F731-419A-9C94-20F9C67C7D18,B4A165A1-C483-4606-8DAD-7BD0CC5D40F4
42,1307BE45-963F-41F1-9BD7-FF4113619FD4,38F8543B-60BA-401A-B156-C79B903CF5B3,4F8D1BFD-7540-4744-8146-BD14FD563DD4
43,9B56B6D6-791F-4F44-BBDF-37CC37BD1B49,F361E8A9-E113-40D5-85E5-DD77B1A4DE43,E8DE4D9D-34D6-4E06-B07C-9F9EB1A0F2A2
44,9D61650F-25B0-45A0-A0B8-1E93F7596CA3,91847AC6-FABF-4B5F-A7CA-4E0C10C39260,0B58C1B8-4AD5-4387-90D8-59377B3563BD
45,9F1979FD-D18B-4CC1-BD2B-864B1D5CDF18,03E69085-4E30-4462-ACEF-6B4FCF799015,B852A21E-55F4-4FEB-8233-17C89FE7E2F6
46,A3E2EF7C-75C7-4E27-B6A9-671DC93573AB,0996B091-20E9-4A6A-8774-5C1FD0C92CB3,57B1BA04-4CBE-4171-931E-9D7B2D6A6233
47,AB8F0576-E7BA-4B42-BFAB-FB3EA5449ED1,41A26D44-227B-4745-A6A9-56BFB7A2371E,F632A5AC-B826-402F-B6C0-458A39516BBF
48,EA8C1B90-20CC-4DF5-8E38-49236E4BD277,5F29BC16-41DA-4F1B-9362-3A0EA548E180,9036EF73-394E-4627-B545-F2856AE8F112
49,C9121957-D668-442D-8FC6-43F18EC98C55,F2E2EA1C-0FBC-444E-9282-6B5C689A88E1,292B8EF7-8E01-45EE-AA7F-E27A15EB2796
50,91D44AD0-1554-4B01-A790-E82F22825608,5D78CB62-F45C-4601-A363-F623E98D7885,71C58391-D8AB-464F-8288-41CE86D28E09
51,A6CE4A88-C3B7-4510-92DB-78CA0A739DE5,031AFF5A-D4D8-46C4-A2A9-82376B8A11EF,42D976C4-8F34-448D-8330-119A7526685D
52,AAD99383-BFF5-4071-8488-F600FBCDE06C,0ECB5417-75D7-4D69-87A1-7D9FA96981E5,3DE4F1C1-8EC5-418D-9B5B-D67078F2EA5E
53,322E0443-5025-4177-A645-D6C00F035F62,D1A541FD-0143-440D-85E2-F7114D337F01,02065575-D8B1-4BF0-8D6B-4FA4C6BD75A9
54,2B679E95-03D5-49EC-9FF9-8150554C6084,2BC3F663-FC98-473B-AB36-21AAD15D38E9,17826517-CB95-4640-885C-4C7154A8EB1B
55,30906F4F-4827-43ED-B809-28CF74186506,DFFB9FB4-AF82-4AB6-AE36-BCDF242FC1B3,6CBDA7A7-EB7E-4CE5-9982-6AF0740E9373
56,A3E6ED81-41DD-4447-80BB-CDFE467BDB4B,8FCC7625-F54F-4FDB-9E35-3839CB6E7579,1C56C0C3-0219-4D54-A4AB-AFAEF31982B0
57,7B879699-9A02-46F7-A557-DE2B85FFEB89,A383097B-DE9C-40DE-92CF-8A02F6C75AAF,E5BE2824-054B-4D67-8EF0-2FAFEBA03DA7
58,807A147A-9D34-467C-ACCF-8B17EE7D7C73,E0A4DECC-AF33-413C-A5FB-E4DF6EE9E859,5C81E60A-8B99-4DA2-998C-8BC1FAD1CCD9
59,DFC6E288-FB46-4289-938E-D65B7EFF652B,ABE9442C-453C-479E-945D-59D8ABCB5E8A,C1F6B520-1FD4-4CF5-BFF6-DBEF0D21C29A
60,C6E37B13-9DA0-4CB7-8259-328FCB181EFB,C98FAF6D-D8F8-4660-BE09-A267DBB5CE98,5F578D1F-4604-4C2F-9AC9-1A1670785ACD
61,CD30AF9F-9C07-4AAA-A3CB-E41701BD0F6C,2EFA1AC0-95A1-4FA1-8019-5C6BA8D8CB33,73A970C4-7BF9-4653-9482-9221122FCF9D
62,E270491E-6023-4246-8FEC-1F0EF4F685FD,10120F3B-9833-4DB1-A28C-4FE0FE4AC7CF,7B98501C-C0C0-4C9D-BE6C-6FBE4B456C8A
63,9BE775E0-9FE8-420E-B286-BB201D48C39C,D29CE6E1-55C8-4C15-A7BA-6CA699CFA0EE,589BBEFF-F069-4307-B7CD-15CA75DFC2C1
64,418560C8-467B-4932-9DF6-0E3B61F55958,24F1510E-81F5-407F-AA46-ECF7F3935811,620C8F16-0EBD-45CC-9ED1-CD57BECFAB44
65,EB07E768-6F98-46D0-9092-74F97300F49C,DCF69B50-7969-4589-9DB9-C359B56FFCF3,1949777D-EC76-4DFC-B779-FF76FB2CBA1A
66,B268032F-85A5-4690-AE66-C3E308FC67A9,D425451B-F317-4B89-8268-F198B39ECACD,A1FAE736-226A-42D1-801D-9A8AE03BD1B7
67,654ED03B-C4AD-425B-9552-6E2FE01D2E09,BAA06261-734F-4EAA-97DE-BDBD357B82FC,0A4AA0EB-04DC-4328-AD36-62EB7037B5BA
68,8F917958-48EB-4537-A9A7-2BC9FF743377,AC1A6DF5-515D-45AF-9BE0-14D25B105D67,B92A18FE-A890-452A-97ED-58F1548A91A0
69,EBDCB806-A724-42CE-8FAC-74F643A6F6CD,E917A1D9-19A0-443D-BEF0-2A1E04D381E3,7D460CAD-F834-4D87-8505-11D3E4A63D86
70,A6B02B71-DCE7-4979-AAF6-4F1B3A70E5F6,6608BF02-6CFD-4CF6-8722-871A83A351E0,04AC9CF8-7C27-46E6-876E-4CD991BF9010
71,25DC6BA9-A0C9-4A5F-9558-24E04D2F553F,A88FA6BC-A6AA-4FA9-B264-5136926B80E0,3F26D57D-4160-48EE-9A89-2CE03C910906
72,D9A24790-E846-45DD-80E2-80A94056F847,D99C03AA-0909-409B-9FA4-EC2ECFB0A488,CFF2A92E-D4B6-4668-930C-A90CC1D5D1D7
73,17BEAEAC-5096-4C2F-BFED-8A64551B5CC2,1FD258FA-567C-47A5-8D93-5FE4516891FB,2FD928CF-F48F-4CF7-8FD4-C455D45CA2D8
74,BDA71B29-A4CE-48D3-94A9-D0F5F6043077,,
75,7E1FFBE4-D362-4318-8827-E5F552D080D8,,
76,78F39AEC-EAB7-48D0-9C7F-EAB72F515113,,
77,A1806441-AC47-464E-AE3F-83779F5E3CC5,,
78,C64F38CA-30FF-4813-99B8-87987A7FFA7A,,
79,6928FC65-BD60-4A66-9F66-B225008BAAD8,,
80,D520C086-55D9-4ABB-9597-21B6C966A669,,
81,21B8BC80-DA89-4897-A30E-7526F717B49E,,
82,AA0FD20B-9F3F-4B6A-AD65-6E97EAB1DEC2,,
83,59306C00-D6DC-44BD-AA60-087A1843EEAB,,
84,13F9113C-FC2E-4EE6-B3F1-63738BDADD6E,,
85,9D88F20C-1498-4363-A38C-1F079829066D,,
86,2B6B3063-1D6F-481E-84FA-99BF2B32D019,,
87,E5A8FFE8-A831-41B0-BEEC-CC2BBDB1CD76,,
88,BEFDE2A1-3D33-4C38-9867-5CE5A9864531,,
89,F2CA71F8-5D7B-4E47-BAC4-872DA3A73F1A,,
90,D26EB975-5C2D-4DC7-A218-EC07B1D60BEC,,
91,AD2AFFB4-AA16-4BB1-96C4-F7973595BC56,,
92,0E547921-2724-4464-8525-B18A4EBA7D0B,,
93,4487C246-168B-4C91-BAC7-DD18BDB0FE69,,
94,2CD234CC-8A61-49B8-96A5-033DC47B2116,,
95,DC11EDD6-8A0B-44D2-9EAB-EE7D133790FA,,
96,D66FB680-7CD2-4C3F-8D9E-2E931B573D25,,
97,231089FB-8DD0-45E7-8E07-577EB35F7E11,,
98,C31D086E-01CC-4201-BAF7-E0E403372375,,
99,78BD27D8-41EE-442E-87F3-BD449752A0A2,,
100,83E48A89-175C-4D0A-BDEC-00FCEBB28753,,
101,1463DF13-1438-49A9-B25F-A73421A658EC,,
102,AEECFA30-DD10-4A85-AB81-3A2FDD094DE3,,
103,62D571C0-45F2-474C-A9C9-6437ED4666F1,,
104,5A660361-D8B9-4FDF-864F-896F0A01148C,,
105,56174223-8DEB-41C8-B705-5CBF399DC7E7,,
106,3789D8FE-E864-46F9-99B3-2B554D296B5F,,
