,train,val,test
CCFAE25C-1552-4B36-A65E-2729483A3C05,True,False,False
FF4B3DF2-F428-4C47-A170-56B3D26EEEFB,True,False,False
C20A02CA-2D06-4F23-AEC7-97D0FCAC34C4,True,False,False
7E1CD0F5-1C25-4D23-8468-327873095BE5,True,False,False
E9025DC4-9CC1-4292-A1F0-E8A10BAEDB42,True,False,False
7391DECF-521D-4257-8FEF-FFFB5F77E063,True,False,False
5BA5B953-7C9D-41E8-B49A-467AD93511D6,True,False,False
D89E753A-346A-4660-9FCB-E67D0C096630,True,False,False
8F81C494-8B74-4EEE-98C8-0BF1057D390A,True,False,False
A5FD793F-B750-44AF-8230-00122572C6FF,True,False,False
175DF508-EEE8-4B0D-B7BF-03237C177CE9,True,False,False
9DAEE833-7601-4250-8A42-39B4DD64DA27,True,False,False
223733CB-8797-4792-97F6-AA7DAA3F69A3,True,False,False
A29A5D80-097B-4565-896E-00B1C4F20A21,True,False,False
39B18AFA-A5F2-4EAD-A4EB-42B0055D819A,True,False,False
86861524-F4C5-4A62-B254-420A89CC43D7,True,False,False
D003E2E1-1D28-4DC4-90A5-A112B09EB31F,True,False,False
F27BB9F7-50CB-40D9-83FB-D0D46C23570E,True,False,False
3C3ECFC3-7D43-4FB2-8ABB-52BBAC86A369,True,False,False
28130182-25B6-48B4-B49D-4588C762B243,True,False,False
E3E91D57-3FB7-4D0B-82F1-56109D65B218,True,False,False
328C2C84-26F8-4044-A6E8-6B7D1FDD3DA4,True,False,False
A89E596C-51BA-4350-9D18-1F8DD830106B,True,False,False
773B2C75-8322-4AEF-AB99-2C1820202C02,True,False,False
EF51ACD6-2916-46C9-82B1-322FE6479E6F,True,False,False
C0BA2F62-A84F-4B87-A992-545734C51D02,True,False,False
371E2512-61DC-401E-9340-3FCF046A79F3,True,False,False
33B69B72-383E-459A-8A86-97C1A31D2579,True,False,False
8229F42F-F12B-4416-96E9-4AC6B8CACC1B,True,False,False
CBF43FDE-FD84-4867-8E78-35DDF4FF10F7,True,False,False
432D5D67-B689-4CBF-A5AD-8CBD2900851F,True,False,False
D128A7E5-5D60-4A7C-A0E5-3A50C5A48D8A,True,False,False
CEFD1888-874E-41CC-9587-587F1462DA98,True,False,False
16ABB3B1-4289-4A33-B4E2-0776D410B739,True,False,False
CC70B0ED-4B3D-4C6B-89D7-27EEEA45EC95,True,False,False
